modelname,disc,bleu,R1,R2,RL,Bscore
Model_42_0.0001,epoch_0,1.3795947025344135,13.784259625597734,1.3934648684648683,12.94442890441379,85.71945893764496
Model_42_0.0001,epoch_1,0.4862697693864733,12.831013005528483,1.3600984310405086,11.804404959721836,86.40188813209534
Model_42_0.0001,epoch_2,2.245832070015286,17.144226945717183,3.3793397970741186,14.512300536668471,86.10964143276215
Model_42_0.0001,epoch_3,1.935945531142019,14.64397088858736,2.5114228319750795,12.034469973703134,86.28118109703064
Model_42_0.0001,epoch_4,1.428354129128188,13.436704525554372,2.031659108411055,12.312565244489306,85.72468340396881
Model_42_0.0001,epoch_0,1.721824011060014,16.766100553039927,3.3113681231328287,14.11796823586004,86.65133690834045
Model_42_0.0001,epoch_1,0.5649844492535768,16.08899001420498,1.9478929479687823,12.812688875209963,86.21379208564758
Model_42_0.0001,epoch_2,1.7476491292537928,13.607049345729633,2.4600661597709093,11.844787345711673,85.930060505867
Model_42_0.0001,epoch_3,0.5200600381025062,14.136456167197025,1.8688252121688655,12.047282192379324,85.7984014749527
Model_42_0.0001,epoch_4,0.5447920981907287,14.180451169144497,2.165118679050568,12.591464387119947,85.70490527153015
Model_42_0.0001,epoch_0,1.3795947025344135,13.836569809637037,1.363969363969364,12.848268484371644,85.71945893764496
Model_42_0.0001,epoch_1,0.4862697693864733,12.789352349579985,1.304831899286434,11.757687418633994,86.40188813209534
Model_42_0.0001,epoch_2,2.245832070015286,17.309609170624395,3.341776215529302,14.510442412556513,86.10964143276215
Model_42_0.0001,epoch_3,1.935945531142019,14.709165566457427,2.4402187196029548,12.049433526022817,86.28118109703064
Model_42_0.0001,epoch_4,1.428354129128188,13.569193488259534,2.003399480596366,12.240381612425399,85.72468340396881
Model_42_0.0001,epoch_0,0.5431460246522943,14.271952401880144,2.2308028959344752,12.411247815392345,86.37885630130768
Model_42_0.0001,epoch_0,1.371935422884771,15.442694999146614,2.7777777777777777,15.429040791944018,86.0433280467987
Model_42_0.0001,epoch_0,1.2654255290754206,17.022229326983148,3.7466843501326266,13.685492139439507,86.19444072246552
Model_42_0.0001,epoch_0,2.073585341348199,14.294181399444556,4.206349206349206,12.800370859581383,86.41055151820183
Model_42_0.0001,epoch_0,1.331669763338049,16.9113886643598,2.2707991242474,14.798770953270102,87.40794956684113
Model_42_0.0001,epoch_0,0.6129851853043687,10.444570135746606,0.0,8.470588235294118,85.26359871029854
Model_42_0.0001,epoch_0,1.0392765204997316,17.69510582010582,1.3888888888888888,17.78769841269841,86.40878573060036
Model_42_0.0001,epoch_0,2.6708846501352155,17.41366731816647,4.485980895880784,13.647583182812387,86.50245741009712
Model_42_0.0001,epoch_0,1.371935422884771,15.68783068783069,2.7777777777777777,15.726659839563064,86.0433280467987
Model_42_0.0001,epoch_0,0.6129851853043687,10.30392156862745,0.0,8.408371040723981,85.26359871029854
Model_42_0.0001,epoch_0,1.331669763338049,16.984296886673793,2.2509578544061304,14.799748978441677,87.40794956684113
Model_42_0.0001,epoch_0,1.0392765204997316,17.824074074074076,1.3888888888888888,17.943121693121693,86.40878573060036
Model_42_0.0001,epoch_0,1.2654255290754206,17.022229326983148,3.7466843501326266,13.418158666460872,86.19444072246552
Model_42_0.0001,epoch_0,2.073585341348199,14.373518255097201,4.206349206349206,12.798762107972633,86.41055151820183
Model_42_0.0001,epoch_0,1.0211334386911841,14.602197698547444,1.5565134099616857,11.300933786078097,86.9180515408516
Model_42_0.0001,epoch_1,1.5376223773102076,16.63512720865662,3.6234928754110345,14.698970463676348,86.44373342394829
Model_42_0.0001,epoch_1,1.3739840982979294,18.48905102581573,3.717948717948718,14.156067832538422,86.20544523000717
Model_42_0.0001,epoch_1,2.7892073773578567,18.33929517753047,3.944099378881987,16.153910212733745,86.72108724713326
Model_42_0.0001,epoch_1,2.2514442372846295,13.40812790812791,3.6190078037904123,12.109488072902707,87.02815100550652
